county_fips,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage,white_difference,black_difference,hispanic_difference,asian_difference,other_difference
06001,0.12157996616565814,209279.0,0.17320173726332228,298137.0,0.2385716144744058,410660.0,0.127032151919913,218664.0,0.3396145301767008,584588.0,1605217,523797,176819,449676,393961,22706,0.32630915321729087,0.11015270832541645,0.24542538485450877,0.2801340877899997,0.01414512804187845,0.01330537695940992,0.06304902893790583,-0.006853770380102958,-0.15855412162434157,0.11288702387803454
06003,0.05035673888453841,4630.0,0.018543896284695032,1705.0,0.09200165318019664,8459.0,0.05632776472635517,5179.0,0.7827699469242148,71971.0,1184,804,10,9,131,224,0.6790540540540541,0.008445945945945946,0.11064189189189189,0.007601351351351352,0.1891891891891892,0.1037158928701607,0.010097950338749086,-0.018640238711695248,0.04275538753318706,-0.13286142446283403
06005,0.04280075979026149,3763.0,0.025591737849611575,2250.0,0.09602020041174263,8442.0,0.044961839875339804,3953.0,0.7906254620730445,69511.0,36963,29436,860,521,5380,534,0.7963639314990666,0.02326650975299624,0.14555095636176718,0.014095176257338419,0.014446879311744177,-0.005738469426022075,0.002325228096615336,-0.049530755950024555,0.02870558353292307,0.03051496056359563
06007,0.030665319317401366,7010.0,0.02932234456270205,6703.0,0.1090346767455391,24925.0,0.036339059567710864,8307.0,0.7946385998066466,181652.0,223877,164398,3279,9497,38265,2273,0.7343228647873609,0.014646435319394132,0.17091974611058752,0.042420614891212585,0.010152896456536402,0.06031573501928578,0.014675909243307916,-0.06188506936504842,-0.01175529557381122,0.026186163111174464
06009,0.018810185281891673,1801.0,0.015311344599252189,1466.0,0.07079146909531468,6778.0,0.019123514298247445,1831.0,0.875963486725294,83870.0,44787,36857,256,448,5193,588,0.8229396923214326,0.005715944358854132,0.11594882443566214,0.01000290262799473,0.013128809699243084,0.0530237944038614,0.009595400240398056,-0.045157355340347455,0.008807282653896943,0.005994704599004362
06011,0.03624276419539742,3838.0,0.04037885870232396,4276.0,0.1987402853716347,21046.0,0.059945040936003856,6348.0,0.66469305079464,70389.0,21361,7881,212,346,12660,262,0.3689434015261458,0.009924628996769814,0.5926688825429521,0.016197743551331866,0.01226534338280043,0.29574964926849423,0.030454229705554146,-0.39392859717131745,0.02004502064406555,0.04767969755320343
06013,0.07027785319938457,27954.0,0.18926549411208657,75283.0,0.19612634627568107,78012.0,0.10273428465120021,40864.0,0.4415960217616476,175651.0,1107925,504792,93809,169695,298307,11485,0.4556192883092267,0.08467089378793691,0.26924836970011506,0.15316469977660943,0.0103662251506194,-0.014023266547579127,0.10459460032414966,-0.073122023424434,-0.08288684657722487,0.09236805950058082
06015,0.02163016928572437,1532.0,0.009883236618803564,700.0,0.05740748584579327,4066.0,0.06003360300450393,4252.0,0.8510455052451749,60277.0,27628,17427,632,650,5772,1743,0.6307731287100043,0.0228753438540611,0.20891848848993774,0.023526856811929925,0.06308817142029825,0.2202723765351705,-0.012992107235257535,-0.15151100264414447,-0.0018966875262055559,-0.003054568415794323
06017,0.037303793731240466,6065.0,0.021041430891108596,3421.0,0.06747896471977563,10971.0,0.04342985779658515,7061.0,0.8307459528612902,135066.0,183000,144069,1576,7542,24106,1769,0.7872622950819672,0.008612021857923497,0.13172677595628415,0.04121311475409836,0.009666666666666667,0.04348365777932295,0.0124294090331851,-0.06424781123650852,-0.0039093210228578965,0.03376319112991848
06019,0.044310905360954334,27777.0,0.05389509081685719,33785.0,0.49712059674635406,311628.0,0.0541965906589287,33974.0,0.3504768164169057,219702.0,963160,296265,45506,93878,519620,7202,0.3075968686407243,0.04724656339548985,0.5394949956393538,0.09746874870218863,0.007477469994601105,0.042879947776181426,0.006648527421367345,-0.04237439889299971,-0.0531578433412343,0.046719120664327596
